Student ID,School,Gender,Game-Playing Frequency,Game-Playing Skill,Game-Playing Hours,Content Pre 1,Content Pre 2,Content Pre 3,Content Pre 4,Content Pre 5,Content Pre 6,Content Pre 7,Content Pre 8,Content Pre 9,Content Pre 10,Content Pre 11,Content Pre 12,Content Pre 13,Content Pre 14,Content Pre 15,Content Pre 16,Content Pre 17,Content Pre 18,Content Pre 19,Content Pre Total,BFI Open,BFI Conscientious,BFI Extraversion,BFI Agreeable,BFI Neuroticism,AGQ Mastery Approach,AGQ Mastery Avoid,AGQ Performance Approach,AGQ Performance Avoid,CERQ Self Blame,CERQ Acceptance,CERQ Rumination,CERQ Positive Refocusing,CERQ Planning,CERQ Positive Reappraisal,CERQ Putting into Perspective,CERQ Catastrophizing,CERQ Other-Blame,Game Soln Disease,Game Soln Object,Content Post 1,Content Post 2,Content Post 3,Content Post 4,Content Post 5,Content Post 6,Content Post 7,Content Post 8,Content Post 9,Content Post 10,Content Post 11,Content Post 12,Content Post 13,Content Post 14,Content Post 15,Content Post 16,Content Post 17,Content Post 18,Content Post 19,Content Post Total,Narrative 1,Narrative 2,Narrative 3,Narrative 4,Narrative 5,Narrative 6,Narrative 7,Narrative 8,Narrative 9,Narrative 10,Narrative 11,Narrative 12,Narrative 13,Narrative Total,IMI Interest Total,IMI Competence Total,IMI Effort Total,IMI Pressure Total,IMI Value Total,PQ Involvement,PQ Sensory Fidelity,PQ Adaptation / Immersion,PQ Interface Quality,PQ Total,Learning Gain,Normalized Learning Gain,Solved Mystery,CompletionTime
100-0028,AnonymousA,1,4,5,5,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,10,33,36,28,30,20,14,4,9,18,3,4,5,6,6,6,5,3,4,disease-Salmonellosis,object-Sandwich,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,10,1,1,1,1,1,1,1,1,1,1,0,0,0,10,4.857142857,4.5,3.2,1.25,3.142857143,52,27,42,12,133,0,0,0,9999
100-0029,AnonymousA,1,4,4,5,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,9,36,29,28,32,22,8,7,6,11,7,7,6,5,5,4,4,7,7,disease-Influenza,object-Sandwich,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,11,1,1,1,1,1,1,1,1,0,1,0,0,0,9,2.714285714,3,4,4,2.857142857,53,28,34,14,129,2,0.2,0,9999
100-0030,AnonymousA,1,3,5,2,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,6,40,24,31,33,17,16,11,15,14,6,8,6,9,6,6,7,4,4,disease-Salmonellosis,object-Egg,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,7,1,1,1,0,1,1,1,1,0,1,0,1,1,10,6.571428571,7,5.6,3.5,5.142857143,73,38,50,8,169,1,0.076923077,0,9999
100-0031,AnonymousA,1,3,4,2,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,5,30,20,30,29,24,13,13,5,11,5,7,7,3,7,7,8,5,2,disease-Salmonellosis,object-Milk,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,9,1,1,0,0,1,1,0,1,0,1,0,0,0,6,6.285714286,5.333333333,4,3,6.142857143,51,29,41,11,132,4,0.285714286,0,9999
100-0032,AnonymousA,1,3,3,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,4,39,28,32,30,20,12,11,14,17,5,7,8,7,6,4,7,6,7,disease-Influenza,object-Egg,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,6,0,0,1,1,1,1,1,1,1,0,0,0,1,8,4,4,4.4,4.75,4.142857143,50,19,36,12,117,2,0.133333333,1,2713.530029
100-0033,AnonymousA,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,5,34,36,17,29,35,17,18,19,19,9,6,6,6,8,6,4,8,6,disease-Influenza,object-Sandwich,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,5,0,1,1,0,1,1,1,0,0,0,0,1,0,6,1.285714286,3.333333333,6.4,5.75,4.714285714,34,28,25,10,97,0,0,0,9999
100-0034,AnonymousA,1,3,3,2,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,0,1,1,11,36,35,28,34,18,12,10,14,12,6,8,6,4,8,7,6,5,4,disease-Salmonellosis,object-Egg,0,1,1,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,1,11,1,1,1,1,1,1,1,1,1,0,0,1,1,11,5.428571429,5.833333333,5.2,3.5,6,65,33,44,10,152,0,0,1,2716.649902
100-0035,AnonymousA,2,4,3,3,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,5,36,31,15,36,37,15,14,16,17,8,7,8,8,7,6,6,8,5,disease-Influenza,object-Egg,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,12,1,1,1,1,1,1,1,1,1,0,1,1,0,11,5.571428571,3.5,5.8,6,6.571428571,69,35,40,11,155,7,0.5,0,9999
100-0037,AnonymousA,1,4,5,3,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,6,35,27,26,29,26,12,12,11,13,5,7,8,8,8,7,5,8,8,disease-Salmonellosis,object-Egg,1,1,0,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,1,10,1,1,1,1,1,1,0,1,1,0,0,1,1,10,6.428571429,4.333333333,5.2,3.75,7,68,34,46,15,163,4,0.307692308,0,9999
100-0038,AnonymousA,2,2,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,4,38,24,28,33,24,17,17,14,15,5,8,8,8,8,5,9,8,8,disease-Salmonellosis,object-Milk,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,9,1,1,1,1,0,1,0,1,0,1,0,1,0,8,6,3.833333333,6,2.5,6,72,36,47,14,169,5,0.333333333,0,9999
100-0039,AnonymousA,1,2,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,4,23,25,21,24,18,3,3,3,3,2,2,2,2,2,2,2,2,2,disease-Influenza,object-Milk,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,5,0,0,1,0,0,0,1,0,1,0,0,0,0,3,4,4,4,5,2.857142857,47,19,31,14,111,1,0.066666667,0,9999
100-0040,AnonymousA,1,4,3,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,4,48,37,36,37,12,15,17,12,13,3,4,8,7,6,5,6,6,6,disease-Salmonellosis,object-Milk,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,9,0,1,1,1,1,1,0,1,1,0,0,0,0,7,1,3.666666667,4.4,5.5,4,45,24,32,10,111,5,0.333333333,0,9999
100-0041,AnonymousA,2,2,3,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,0,0,1,11,38,30,35,40,15,14,11,12,17,6,8,6,7,8,9,10,4,5,disease-Influenza,object-Egg,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,8,1,1,1,0,1,1,0,1,1,1,0,1,0,9,4.857142857,3.166666667,3.2,4,0,0,0,0,24,24,-3,-0.375,0,9999
100-0042,AnonymousA,2,4,3,2,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,5,36,35,35,40,15,16,11,7,10,6,6,6,8,6,7,6,5,7,disease-Influenza,object-Sandwich,1,1,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,8,1,1,1,1,1,1,1,1,0,0,0,0,0,8,4.142857143,4.166666667,4.8,4.5,4.428571429,47,32,39,13,131,3,0.214285714,0,9999
100-0043,AnonymousA,2,2,3,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,7,43,36,33,44,23,12,12,12,12,6,6,6,6,6,6,6,6,6,disease-Influenza,object-Egg,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,1,0,9,1,1,1,1,1,1,1,1,1,1,0,0,0,10,5.285714286,5.333333333,6.2,4.75,4,50,31,32,12,125,2,0.166666667,0,9999
100-0044,AnonymousA,1,4,5,4,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,6,35,31,32,33,14,8,8,14,16,5,9,7,8,9,8,8,3,6,disease-Influenza,object-Milk,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,8,1,1,1,1,1,1,1,1,0,0,0,1,1,10,3.714285714,5.666666667,3.8,2.5,5.285714286,59,27,37,12,135,2,0.153846154,1,2117.474854
100-0045,AnonymousA,2,2,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,6,30,33,26,38,22,13,15,11,18,5,7,7,6,6,8,8,4,3,disease-Influenza,object-Milk,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,4,0,1,1,0,1,1,1,1,1,0,0,0,0,7,3.571428571,3.166666667,4.2,4.5,3.285714286,53,28,32,16,129,-2,-0.153846154,0,9999
100-0046,AnonymousA,2,3,3,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,38,24,38,33,17,12,8,12,8,5,8,7,8,8,9,6,3,5,disease-Influenza,object-Sandwich,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,7,1,1,1,1,1,1,0,1,0,1,0,0,0,8,3.714285714,4.5,5,2.25,4,55,31,38,13,137,4,0.25,0,9999
100-0047,AnonymousA,1,3,5,2,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,5,30,27,24,27,24,9,9,9,9,4,4,4,4,4,4,4,4,4,disease-Influenza,object-Milk,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,8,0,0,1,0,1,1,0,1,1,0,0,1,0,6,2.714285714,4,4,5,4,52,24,32,12,120,3,0.214285714,0,9999
100-0048,AnonymousA,2,2,2,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,6,19,42,20,37,28,21,21,15,20,2,6,4,5,5,10,8,2,2,disease-Influenza,object-Sandwich,0,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,8,0,0,1,1,1,1,0,1,0,0,0,0,1,6,6.142857143,5,7,5.5,6.857142857,51,7,5,24,87,2,0.153846154,0,9999
100-0049,AnonymousA,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38,32,28,33,23,20,7,10,13,6,4,5,6,8,8,8,6,5,disease-Salmonellosis,object-Egg,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,8,0,0,1,1,0,0,0,0,1,1,0,0,1,5,3.142857143,2.666666667,4.8,4.5,2.142857143,30,16,24,17,87,7,0.388888889,0,9999
100-0050,AnonymousA,1,5,5,5,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,6,30,27,36,21,17,9,9,16,10,5,6,7,7,7,7,4,4,4,disease-Salmonellosis,object-Milk,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,6,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,2,5.8,2.75,1,30,6,14,7,57,0,0,0,9999
100-0052,AnonymousA,1,4,3,2,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1,10,34,26,29,34,24,10,9,12,14,7,8,6,7,7,7,8,7,2,disease-Salmonellosis,object-Egg,1,1,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1,12,1,1,1,1,1,1,1,1,1,1,1,1,1,13,5.571428571,5.666666667,5.6,2.25,6.571428571,61,33,27,19,140,2,0.222222222,0,9999
100-0053,AnonymousA,2,2,3,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6,32,39,30,40,13,17,13,15,20,5,5,7,4,7,10,8,4,4,disease-Influenza,object-Sandwich,1,1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,10,1,1,1,1,1,1,1,1,1,1,0,1,0,11,6.142857143,4.333333333,6.4,3.25,6.428571429,68,38,45,7,158,4,0.307692308,0,9999
100-0054,AnonymousA,2,2,3,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,5,35,40,24,43,15,8,8,3,12,8,8,8,5,8,7,6,2,2,disease-Influenza,object-Egg,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,7,1,1,0,1,1,1,1,1,1,1,1,1,0,11,3.857142857,4,4.4,3.75,4,69,36,41,13,159,2,0.142857143,1,2800.379883
100-0055,AnonymousA,2,3,3,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,1,0,7,36,16,35,20,39,4,12,3,19,9,2,10,3,7,5,3,10,2,disease-Influenza,object-Egg,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,13,1,1,1,1,1,1,1,1,1,1,1,1,1,13,5.428571429,6,2.8,1.25,3.571428571,53,21,43,19,136,6,0.5,1,2547.149902
100-0056,AnonymousA,2,3,2,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,9,32,38,35,39,24,17,13,13,11,7,8,8,8,8,10,9,5,3,disease-Salmonellosis,object-Egg,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,8,1,1,1,1,1,1,0,1,0,1,0,1,0,9,5.285714286,3.166666667,5.2,7,4,49,26,33,12,120,-1,-0.1,0,9999
100-0057,AnonymousA,2,2,4,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,7,34,34,28,39,24,12,12,7,9,4,6,4,4,4,6,5,4,2,disease-Influenza,object-Egg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,None,None,0,9999
100-0058,AnonymousA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,disease-Influenza,object-Milk,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,2,4,4,3.2,4,0,0,0,0,24,24,None,None,0,9999
